revenue_district_office_number,revenue_district_office,bank_code,bank_name,bank_branch,bank_address,,,,,,,1,30
2,"Vigan, Ilocos sur",010-174,UCPB,Vigan,Ucpb Bldg  Ml Quezon Avenuevigan Ilocos Sur 2700,,,,,,,110,18
2,"Vigan, Ilocos sur",043-251,UNION,Vigan,"Ar Lahoz Bldg., Jose Singson St. Vigan, Ilocos Sur 2700",,,,,,,111,13
2,"Vigan, Ilocos sur",3231,CBC,Candon City,"Cbc Bldg., National Road, Poblacion, Candon City",,,,,,,112,17
3,San Fernando La Union,158045,BOC,La Union,"Cap Annex Bldg., Quezon Avenue Cor. Gov. Juan Luna, San Fernando, La Union",,,,,,,113,45
3,San Fernando La Union,2032,BPI,San Fernando Lu,500 Quezon Ave San Fernando La Union,,,,,,,114,3
3,San Fernando La Union,002-683,BPI,Agoo La Union,"Agoo People'S Center Bldg.,Mc Arthur Hi-Way, San Nicolas Norte, Agoo La Union",,,,,,,115,9
3,San Fernando La Union,3087,CBC,La Union,Quezon Ave National Highway San Fernando La Union,,,,,,,132,31
3,San Fernando La Union,078-072,DBP,"San Fernando, La Union","Gov. Luna St. San Fernando City, Lu",,,,,,,,
3,San Fernando La Union,086-019,LBP,San Fernando Lu,Dona Marietta Bldg Gov Ortega San Fernando La Union,,,,,,,,
3,San Fernando La Union,086-116,LBP,Agoo La Union,"P. Torio Building, National Highway, Sta. Barbara, Agoo, La Union",,,,,,,,
3,San Fernando La Union,086-181,LBP,San Fernando Lu Eo,Dona Pepita Bldg National Highway San Fernando La Union,,,,,,,,
3,San Fernando La Union,015-249,MBTC,La Union-Mlq,Manuel L Quezon San Fernando La Union,,,,,,,,
3,San Fernando La Union,015-477,MBTC,Agoo-La Union,"Sta. Barbara National Highway Agoo, La Union",,,,,,,,
3,San Fernando La Union,015-555,MBTC,La Union-Monumento Sevilla,"Tan Bldg, Quezon Avenue, National Highway, Brgy. Sevilla, La Union",,,,,,,,
3,San Fernando La Union,019-007,PBCOM,La Union,"G/F Cj Arch Bldg Quezon Avenue San Fernando City, La Union",,,,,,,,
3,San Fernando La Union,21006,PHILTRUST,San Fernando La Union,P Gomez St San Fernando La Union,,,,,,,,
3,San Fernando La Union,33111,PNB,La Union,Quezon Avenue San Fernando La Union,,,,,,,,
3,San Fernando La Union,33138,PNB,Agoo,Nat'L Hiway Cor Verceles St Consolacion Agoo La Union,,,,,,,,
3,San Fernando La Union,170018,PVB,La Union,"Pvb Bldg., P Burgos St San Fernando La Union",,,,,,,,
3,San Fernando La Union,027-028,SBTC,La Union,"G/F Kenny Plaza, Quezon Avenue, San Fernando City, La Union",,,,,,,,
3,San Fernando La Union,010-139,UCPB,La Union,Pua Phee Bldg  Quezon Ave San Fernando La Union,,,,,,,,
3,San Fernando La Union,177049,EASTWEST BANK,La-Union,"Quezon Ave., Cor. Ancheta St., San Fernando City",,,,,,,,
3,San Fernando La Union,043-248,UNION,La Union,"G/F Shania Tower, Quezon Avenue, San Fernando, La Union 2500",,,,,,,,
