revenue_district_office_number,revenue_district_office,bank_code,bank_name,bank_branch,bank_address,,,,,,,1,30
3,San Fernando La Union,177049,EASTWEST BANK,La-Union,"Quezon Ave., Cor. Ancheta St., San Fernando City",,,,,,,43A,55
3,San Fernando La Union,043-248,UNION,La Union,"G/F Shania Tower, Quezon Avenue, San Fernando, La Union 2500",,,,,,,43B,32
4,"San Miguel, Calasiao, Pangasinan",158047,BOC,Dagupan,A.B. Fernandez St. Cor Nable St. Dagupan City,,,,,,,44,49
4,"San Miguel, Calasiao, Pangasinan",2406,BPI,Dagupan Perez,"Perez Blvd. Cor Rizal St., Dagupan City",,,,,,,45,49
4,"San Miguel, Calasiao, Pangasinan",002-636,BPI,Dagupan Karanglaan,"Caranglaan Dist., Dagupan City",,,,,,,46,29
4,"San Miguel, Calasiao, Pangasinan",002-639,BPI,Dagupan Ab Fernandez,"Ground Floor, Maya Bldg., Ab Fernandez Avenue, Dagupan City",,,,,,,47,84
4,"San Miguel, Calasiao, Pangasinan",002-686,BPI,Mangaldan Pangasinan,"Poblacion Mangaldan,Pangasinan 2432",,,,,,,48,58
4,"San Miguel, Calasiao, Pangasinan",3023,CBC,Dagupan City,Perez St Dagupan City,,,,,,,49,56
4,"San Miguel, Calasiao, Pangasinan",3162,CBC,Dagupan - Nepo Mall,"101 G/F Nepo Mall, Arellano Bani St., Dagupan City",,,,,,,50,57
4,"San Miguel, Calasiao, Pangasinan",078-011,DBP,Dagupan Branch,"M.H. Del Pilar St., Dagupan City",,,,,,,51,56
4,"San Miguel, Calasiao, Pangasinan",086-074,LBP,Dagupan City,Mh Del Pilar St Dagupan Pangasinan,,,,,,,52,66
4,"San Miguel, Calasiao, Pangasinan",086-113,LBP,San Carlos City,Rizal Avenue San Carlos Pangasinan,,,,,,,53A,30
4,"San Miguel, Calasiao, Pangasinan",086-227,LBP,Dagupan Caranglaan,T Siapno Bldg Caranglaan Dagupan West Pangasinan,,,,,,,53B,46
4,"San Miguel, Calasiao, Pangasinan",015-018,MBTC,Dagupan-Main,Ab Fernandez Ave Dagupan City,,,,,,,57,50
4,"San Miguel, Calasiao, Pangasinan",19046,PBCOM,Dagupan,Fib Bldg M H Del Pilar Mayombo District Dagupan City 2400,,,,,,,54A,47
4,"San Miguel, Calasiao, Pangasinan",33162,PNB,Dagupan,Ab Fernandez Avenue Dagupan Pangasinan,,,,,,,54B,43
4,"San Miguel, Calasiao, Pangasinan",170002,PVB,Dagupan City,Pvb Bldg 141 Ab Fernandez Ave Dagupan Pangasinan,,,,,,,55,17
4,"San Miguel, Calasiao, Pangasinan",26207,RCBC,Dagupan,Rcbc Bldg. A. Fernandez Ave. Dagupan City,,,,,,,56,39
4,"San Miguel, Calasiao, Pangasinan",027-037,SBTC,Dagupan,"Mh Del Pilar, Dagupan City",,,,,,,59,29
4,"San Miguel, Calasiao, Pangasinan",010-001,UCPB,Dagupan,Ucpb Bldg A B Fernandez Ave & Herrero Street Dagupan City,,,,,,,58,34
4,"San Miguel, Calasiao, Pangasinan",015-559,MBTC,Ab Fernandez,"288 Ab Fernandez Avenue, Dagupan City",,,,,,,60,20
5,"Alaminos City, Pangasinan",002-638,BPI,Alaminos,"Brgy, Palamis Alaminos City, Pangasinan",,,,,,,61,7
5,"Alaminos City, Pangasinan",086-109,LBP,Alaminos,Quezon Avenue Alaminos West Pangasinan,,,,,,,62,2
5,"Alaminos City, Pangasinan",086-217,LBP,Lingayen,Avenida Rizal Lingayen West Pangasinan,,,,,,,63,10
5,"Alaminos City, Pangasinan",33139,PNB,Alaminos,Quezon Avenue Poblacion Alaminos West Pangasinan,,,,,,,64,7
5,"Alaminos City, Pangasinan",33177,PNB,Lingayen,Avenida Rizal East Cor Maramba Poblacion Lingayen,,,,,,,65,22
5,"Alaminos City, Pangasinan",170025,PVB,Lingayen,Rizal Cor Bengson Sts Lingayen Pang,,,,,,,66,5
5,"Alaminos City, Pangasinan",170047,PVB,Sual,95 Agbayani Street Poblacion Sual Pangasinan,,,,,,,67,18
6,"Urdaneta City, Pangasinan",158048*,BOC,Urdaneta,"#7 Alexander St. Poblacion, Urdaneta City, Pangasinan",,,,,,,68,6
6,"Urdaneta City, Pangasinan",2045,BPI,Urdaneta Alexander,Mcarthhur Hiway Cor Del Prado Urdaneta Pangasinan,,,,,,,70,5
6,"Urdaneta City, Pangasinan",002-681,BPI,Rosales,"Carmen West Rosales,Pangasinan",,,,,,,71,13
6,"Urdaneta City, Pangasinan",002-685,BPI,Urdaneta Mcarthur,"Mc Arthur Highway, Namcayasan Urdaneta City, Pangasinan 2428",,,,,,,72,13
6,"Urdaneta City, Pangasinan",3121,CBC,Pangasinan Urdaneta,National Highway Urdaneta Pangasinan,,,,,,,73,6
6,"Urdaneta City, Pangasinan",086-010,LBP,Urdaneta,Mcarthur Highway Urdaneta Pangasinan,,,,,,,74,46
6,"Urdaneta City, Pangasinan",086-175,LBP,Tayug,Fonacier Bldg Rizal St Tayug Pangasinan,,,,,,,75,2
6,"Urdaneta City, Pangasinan",33199,PNB,Urdaneta,Mcarthur Highway Nancayasan Urdaneta East Pangasinan,,,,,,,76,14
6,"Urdaneta City, Pangasinan",26247,RCBC,Urdaneta,"G/F Ef Square Bldg., Mcarthur Highway, Urdaneta City",,,,,,,77,41
6,"Urdaneta City, Pangasinan",27161,SBTC,Urdaneta,"G/F, Csi Mall, National Highway, Urdaneta City, Pangasinan",,,,,,,78,8
6,"Urdaneta City, Pangasinan",010-180,UCPB,Urdaneta,Alexander Street  Urdaneta Pangasinan 2428,,,,,,,79,16
6,"Urdaneta City, Pangasinan",177072,EASTWEST BANK,Urdaneta Pangasinan,"S&P Bldg., Mcarthur Highway, Nancayasan, Urdaneta City",,,,,,,80,57
6,"Urdaneta City, Pangasinan",015-557,MBTC,Urdaneta-Nancayasan,"Home Ideas Compound, Nancayasan, Urdaneta City, Pangasinan 2428",,,,,,,81,60
2,"Ilagan, Isabela",002-661,BPI,Santiago Isabela,Maharlika Highway Cor Malvar St Santiago,,,,,,,82,35
1,"Laoag City, Ilocos Norte",2465,BPI,Laoag Rizal,"Rizal Cor Balintawak St., Barangay Sta. Angela, Laoag City",,,,,,,83,16
1,"Laoag City, Ilocos Norte",002-652,BPI,Laoag - Fonacier,Rizal Cor. Fonacier Sts. Laoag City 2900,,,,,,,84,17
1,"Laoag City, Ilocos Norte",002-655,BPI,Batac,Brgy Ablan Washington Cor Otis Sts Batac,,,,,,,85,7
1,"Laoag City, Ilocos Norte",002-658,BPI,San Nicolas,Grnd Flr Boy Const'N Bldg San Nicolas Ilocos Norte,,,,,,,86,2
1,"Laoag City, Ilocos Norte",3069,CBC,Laoag,A Abadilla St Laoag City,,,,,,,87,7
1,"Laoag City, Ilocos Norte",078-021,DBP,Laoag Branch,"Bonifacio Sats., Laoag City",,,,,,,88,16
1,"Laoag City, Ilocos Norte",086-023,LBP,Laoag,Brgy 20 Rizal St Don Ruiz Laoag City,,,,,,,89,9
1,"Laoag City, Ilocos Norte",086-163,LBP,Batac,Washington St Batac Ilocos Norte,,,,,,,90,3
1,"Laoag City, Ilocos Norte",33078,PNB,Laoag,Jp Rizal St Laoag Ilocos Norte,,,,,,,91,7
1,"Laoag City, Ilocos Norte",33259,PNB,Batac,San Marcelino Cor Concepcion Brgy Valdez Batac Ilocos Norte,,,,,,,92,9
1,"Laoag City, Ilocos Norte",170032,PVB,Laoag,Pvb Bldg Gen Segundo Avenue Laoag Ilocos Norte,,,,,,,93A,21
1,"Laoag City, Ilocos Norte",27130,SBTC,Laoag,"G/F Amwslai Bldg., Gen Segundo Avenue, Laoag City",,,,,,,93B,2
1,"Laoag City, Ilocos Norte",10128,UCPB,Laoag,Bueno Bldg  Jp Rizal Corner E Ruiz St Laoag City,,,,,,,94,4
1,"Laoag City, Ilocos Norte",177071,EASTWEST BANK,Laoag,"Ablan Bldg., J.P. Rizal Ave. Cor. Don Severo Hernando Ave., Laoag City",,,,,,,97,2
1,"Laoag City, Ilocos Norte",043-247,UNION,Laoag,"Rizal Corner Guerrero Sts., Laoag City, Ilocos Norte 2900",,,,,,,98,31
2,"Vigan, Ilocos sur",158046*,BOC,Vigan,"Jacinto Cor. Florentino Sts. Vigan, Ilocos Sur",,,,,,,99,15
2,"Vigan, Ilocos sur",002-654,BPI,Vigan,Jacinto  Corner Florentino Sts Vigan City Ilocos Sur,,,,,,,100,12
2,"Vigan, Ilocos sur",002-660,BPI,Candon,Gloria Bldg San Antonio Candon Ilocos Sur,,,,,,,101,13
2,"Vigan, Ilocos sur",002-663,BPI,Santiago Panganiban,Quezon St Brgy Centro East Santiago,,,,,,,102,2
2,"Vigan, Ilocos sur",3200,CBC,Vigan,"Burgos St Corner Rizal St., Vigan City, Ilocos Sur 2700",,,,,,,103,14
2,"Vigan, Ilocos sur",78085,DBP,Vigan,Florentino St. Vigan City,,,,,,,104,3
2,"Vigan, Ilocos sur",086-032,LBP,Vigan,Salcedo Vigan Ilocos Sur,,,,,,,105,8
2,"Vigan, Ilocos sur",086-110,LBP,Candon,National Highway Candon Ilocos Sur,,,,,,,106,6
2,"Vigan, Ilocos sur",086-256,LBP,Narvacan,G/F Unit 14 Columbia Towers Ortigas Ave Mandaluyong,,,,,,,107,9
2,"Vigan, Ilocos sur",33155,PNB,Candon,National Hiway Cor Dario St San Antonio Candon Ilocos Sur,,,,,,,108,12
2,"Vigan, Ilocos sur",33200,PNB,Vigan,Leona Florentino St Vigan Ilocos Sur,,,,,,,109,7
